,Category,Price,Rating,Stock,Discount,Category_FR,Price_MinMax
0,Unknown,5548.0,1.870322015500628,Unknown,0.0,4,0.5548554855485549
1,Unknown,3045.0,4.757798057831803,Unknown,38.0,4,0.3045304530453045
2,Unknown,4004.0,0.0,In Stock,0.0,4,0.4004400440044004
3,Unknown,4808.0,1.492084885301209,Unknown,33.0,4,0.48084808480848085
4,Unknown,1817.0,0.0,Out of Stock,23.0,4,0.18171817181718172
5,Unknown,3522.0,0.0,Unknown,0.0,4,0.35223522352235226
6,C,667.0,3.668340748490816,In Stock,41.0,2,0.0667066706670667
7,A,7125.0,4.983998118378299,Out of Stock,7.0,0,0.7125712571257126
8,A,2777.0,2.678384421487482,In Stock,6.0,0,0.2777277727772777
9,Unknown,463.0,4.626187280896929,Unknown,3.0,4,0.0463046304630463
10,A,1151.0,2.947838084766442,Unknown,0.0,0,0.1151115111511151
11,A,3772.0,4.890749963096654,In Stock,45.0,0,0.37723772377237724
12,Unknown,7719.0,2.9822417824846874,In Stock,4.0,4,0.771977197719772
13,C,8416.0,1.2709427320459683,Unknown,29.0,2,0.8416841684168417
14,B,8530.0,0.0,Unknown,10.0,1,0.8530853085308531
15,A,7936.0,3.032832041059039,In Stock,44.0,0,0.7936793679367937
16,B,9319.0,3.479063511857313,In Stock,28.0,1,0.931993199319932
17,Unknown,0.0,4.097463656949772,Unknown,40.0,4,0.0
18,D,2066.0,0.0,Unknown,30.0,3,0.20662066206620663
19,B,1784.0,0.0,Unknown,12.0,1,0.1784178417841784
20,Unknown,5589.0,0.0,Unknown,39.0,4,0.5589558955895589
21,C,0.0,0.0,Out of Stock,25.0,2,0.0
22,Unknown,4176.0,2.264050691550675,In Stock,42.0,4,0.41764176417641763
23,D,407.0,2.7742698776847985,In Stock,44.0,3,0.0407040704070407
24,Unknown,7011.0,0.0,In Stock,38.0,4,0.7011701170117012
25,Unknown,8418.0,0.0,Unknown,0.0,4,0.8418841884188419
26,Unknown,3405.0,0.0,In Stock,48.0,4,0.34053405340534054
27,D,1732.0,0.0,Unknown,0.0,3,0.17321732173217322
28,B,5850.0,2.264393100564309,Out of Stock,43.0,1,0.585058505850585
29,Unknown,0.0,2.357527106379227,Unknown,22.0,4,0.0
30,Unknown,704.0,0.0,In Stock,47.0,4,0.0704070407040704
31,Unknown,2343.0,1.8632245113185228,Out of Stock,17.0,4,0.23432343234323433
32,Unknown,0.0,0.0,Unknown,0.0,4,0.0
33,Unknown,1910.0,3.8494948825094535,Out of Stock,14.0,4,0.19101910191019103
34,Unknown,9307.0,0.0,Out of Stock,21.0,4,0.9307930793079308
35,Unknown,2331.0,3.95225743506134,Unknown,43.0,4,0.23312331233123312
36,D,6164.0,4.305789482267322,Out of Stock,1.0,3,0.6164616461646165
37,B,8060.0,1.9058024886644624,Out of Stock,43.0,1,0.8060806080608061
38,Unknown,5607.0,4.789502194485456,Unknown,15.0,4,0.5607560756075608
39,Unknown,4730.0,0.0,In Stock,30.0,4,0.4730473047304731
40,Unknown,9230.0,0.0,Unknown,8.0,4,0.9230923092309231
41,Unknown,1112.0,0.0,In Stock,38.0,4,0.1112111211121112
42,Unknown,4390.0,0.0,In Stock,34.0,4,0.43904390439043905
43,Unknown,8484.0,0.0,Out of Stock,36.0,4,0.8484848484848485
44,D,6415.0,4.984170226351978,Out of Stock,12.0,3,0.6415641564156416
45,Unknown,4589.0,0.0,Out of Stock,47.0,4,0.45894589458945895
46,A,2260.0,0.0,In Stock,37.0,0,0.22602260226022602
47,Unknown,1759.0,4.45534399355245,Unknown,37.0,4,0.17591759175917593
48,Unknown,7190.0,1.9243054921681804,In Stock,0.0,4,0.7190719071907191
49,Unknown,8675.0,2.778260648243727,Out of Stock,0.0,4,0.8675867586758675
50,Unknown,5412.0,0.0,Out of Stock,24.0,4,0.5412541254125413
51,A,6304.0,0.0,Unknown,31.0,0,0.6304630463046305
52,C,9870.0,2.8036864935783328,Out of Stock,37.0,2,0.9870987098709871
53,C,1134.0,2.886833030618752,In Stock,15.0,2,0.11341134113411341
54,B,9795.0,0.0,In Stock,17.0,1,0.9795979597959796
55,B,3445.0,0.0,In Stock,3.0,1,0.34453445344534456
56,Unknown,8421.0,1.338253810015713,In Stock,2.0,4,0.8421842184218422
57,Unknown,3236.0,4.951183214408314,Out of Stock,2.0,4,0.3236323632363236
58,Unknown,1624.0,0.0,Out of Stock,34.0,4,0.1624162416241624
59,Unknown,806.0,4.170806833653488,Unknown,8.0,4,0.08060806080608061
60,Unknown,9888.0,0.0,Unknown,29.0,4,0.9888988898889889
61,Unknown,8773.0,1.865998304807294,Out of Stock,17.0,4,0.8773877387738774
62,D,3977.0,0.0,Out of Stock,32.0,3,0.39773977397739774
63,D,2251.0,0.0,Unknown,25.0,3,0.22512251225122512
64,Unknown,7842.0,0.0,Unknown,30.0,4,0.7842784278427842
65,A,5006.0,3.835636273769511,Out of Stock,0.0,0,0.5006500650065007
66,Unknown,3182.0,0.0,Unknown,13.0,4,0.31823182318231824
67,Unknown,1136.0,0.0,Unknown,19.0,4,0.11361136113611361
68,Unknown,1066.0,0.0,Out of Stock,10.0,4,0.10661066106610662
69,B,1029.0,4.464129272916702,Unknown,38.0,1,0.10291029102910292
70,Unknown,1788.0,0.0,Out of Stock,7.0,4,0.1788178817881788
71,Unknown,6249.0,0.0,In Stock,16.0,4,0.624962496249625
72,D,8026.0,0.0,Unknown,46.0,3,0.8026802680268027
73,A,9516.0,1.6573504366560314,Unknown,5.0,0,0.9516951695169517
74,Unknown,859.0,1.2279456432932538,Unknown,49.0,4,0.0859085908590859
75,Unknown,6792.0,2.4937906347326475,Unknown,26.0,4,0.6792679267926792
76,Unknown,8631.0,3.3084805096007277,In Stock,10.0,4,0.8631863186318632
77,Unknown,6491.0,4.645463936808445,Unknown,16.0,4,0.6491649164916492
78,Unknown,0.0,4.036652101229622,In Stock,33.0,4,0.0
79,D,642.0,1.5983454005426196,Out of Stock,28.0,3,0.06420642064206421
80,B,4222.0,4.213202927733002,In Stock,20.0,1,0.42224222422242225
81,A,1962.0,4.976201301561568,In Stock,6.0,0,0.19621962196219622
82,Unknown,2119.0,3.661720155583746,Unknown,40.0,4,0.21192119211921193
83,Unknown,1441.0,3.41463486419962,In Stock,43.0,4,0.14411441144114412
84,Unknown,6884.0,0.0,In Stock,49.0,4,0.6884688468846885
85,D,2544.0,0.0,Unknown,0.0,3,0.2544254425442544
86,B,6114.0,0.0,In Stock,44.0,1,0.6114611461146114
87,Unknown,8117.0,0.0,In Stock,45.0,4,0.8117811781178118
88,Unknown,0.0,2.581053762448872,Out of Stock,36.0,4,0.0
89,A,4077.0,0.0,Out of Stock,28.0,0,0.4077407740774077
90,D,2877.0,3.1301621702727505,Out of Stock,49.0,3,0.2877287728772877
91,B,8723.0,3.750973129417399,Unknown,41.0,1,0.8723872387238724
92,Unknown,8651.0,4.282273713935922,Unknown,2.0,4,0.8651865186518651
93,Unknown,3282.0,0.0,Out of Stock,40.0,4,0.3282328232823282
94,D,9493.0,2.7804614226232114,Out of Stock,34.0,3,0.9493949394939494
95,Unknown,6578.0,3.125260769236996,Unknown,28.0,4,0.6578657865786579
96,Unknown,7187.0,0.0,In Stock,12.0,4,0.7187718771877187
97,Unknown,1435.0,0.0,Unknown,23.0,4,0.14351435143514352
98,Unknown,1561.0,2.8560894572721987,In Stock,6.0,4,0.1561156115611561
99,Unknown,2778.0,4.647670825820734,Unknown,43.0,4,0.27782778277827785
100,A,4752.0,4.589987920715608,In Stock,1.0,0,0.4752475247524752
101,Unknown,4502.0,0.0,In Stock,40.0,4,0.45024502450245024
102,Unknown,0.0,0.0,In Stock,1.0,4,0.0
103,Unknown,578.0,3.688162019635981,Out of Stock,36.0,4,0.057805780578057804
104,Unknown,3137.0,2.530595786094526,Out of Stock,49.0,4,0.31373137313731375
105,C,7417.0,3.516107651706844,In Stock,43.0,2,0.7417741774177418
106,C,8024.0,0.0,Unknown,2.0,2,0.8024802480248024
107,Unknown,5250.0,0.0,Unknown,6.0,4,0.525052505250525
108,Unknown,6554.0,0.0,Unknown,29.0,4,0.6554655465546555
109,Unknown,7267.0,0.0,Unknown,24.0,4,0.7267726772677268
110,Unknown,6122.0,2.5677161236461608,In Stock,15.0,4,0.6122612261226122
111,Unknown,1362.0,3.9136540296959086,Out of Stock,0.0,4,0.13621362136213622
112,Unknown,6562.0,3.6193144852124495,Out of Stock,3.0,4,0.6562656265626563
113,C,6879.0,0.0,In Stock,8.0,2,0.6879687968796879
114,D,6117.0,4.858685977036779,Unknown,4.0,3,0.6117611761176117
115,C,3182.0,4.874851836156545,In Stock,49.0,2,0.31823182318231824
116,Unknown,5427.0,0.0,Out of Stock,15.0,4,0.5427542754275427
117,Unknown,251.0,0.0,Unknown,21.0,4,0.0251025102510251
118,Unknown,6250.0,0.0,Unknown,33.0,4,0.6250625062506251
119,D,4580.0,1.5320901750433862,Unknown,39.0,3,0.45804580458045807
120,Unknown,9161.0,2.602243654999287,In Stock,49.0,4,0.9161916191619162
121,Unknown,5821.0,1.168690444136142,Out of Stock,17.0,4,0.5821582158215821
122,Unknown,9990.0,0.0,Out of Stock,19.0,4,0.9990999099909991
123,Unknown,4347.0,2.568984286425842,Unknown,3.0,4,0.43474347434743477
124,D,2697.0,1.9174796816019517,Unknown,30.0,3,0.26972697269726975
125,Unknown,9160.0,4.392384246470518,Out of Stock,29.0,4,0.9160916091609161
126,Unknown,2072.0,0.0,Unknown,10.0,4,0.2072207220722072
127,C,2122.0,4.86095167402677,Out of Stock,29.0,2,0.21222122212221223
128,Unknown,8731.0,0.0,Out of Stock,38.0,4,0.8731873187318732
129,D,5031.0,0.0,In Stock,4.0,3,0.5031503150315032
130,A,6557.0,0.0,Out of Stock,32.0,0,0.6557655765576558
131,Unknown,3981.0,0.0,Unknown,41.0,4,0.39813981398139814
132,Unknown,9459.0,3.490351838179834,Out of Stock,42.0,4,0.945994599459946
133,Unknown,3763.0,0.0,Unknown,13.0,4,0.3763376337633763
134,A,2466.0,0.0,Unknown,12.0,0,0.24662466246624662
135,A,6348.0,0.0,Unknown,29.0,0,0.6348634863486349
136,Unknown,6345.0,0.0,Out of Stock,4.0,4,0.6345634563456346
137,Unknown,4781.0,3.236473832492795,Out of Stock,3.0,4,0.47814781478147816
138,B,8345.0,0.0,Out of Stock,41.0,1,0.8345834583458346
139,A,5459.0,0.0,Out of Stock,33.0,0,0.5459545954595459
140,A,8521.0,1.081564565083486,Out of Stock,40.0,0,0.8521852185218521
141,Unknown,2649.0,1.9854449132555,In Stock,25.0,4,0.26492649264926493
142,Unknown,3101.0,1.9228916950178256,Unknown,6.0,4,0.31013101310131014
143,D,357.0,0.0,Out of Stock,32.0,3,0.035703570357035704
144,B,4299.0,2.938430507798154,Unknown,29.0,1,0.42994299429942995
145,Unknown,9799.0,0.0,Out of Stock,34.0,4,0.97999799979998
146,A,8832.0,0.0,Unknown,17.0,0,0.8832883288328833
147,A,8251.0,4.052873659464407,In Stock,28.0,0,0.8251825182518252
148,A,1465.0,1.835877107956549,Unknown,0.0,0,0.14651465146514653
149,A,9825.0,0.0,Out of Stock,22.0,0,0.9825982598259826
150,Unknown,6442.0,0.0,In Stock,34.0,4,0.6442644264426443
151,B,7624.0,0.0,Unknown,5.0,1,0.7624762476247625
152,B,4061.0,2.882858329954204,In Stock,28.0,1,0.4061406140614061
153,Unknown,190.0,0.0,In Stock,0.0,4,0.019001900190019003
154,Unknown,4643.0,3.193527428593516,In Stock,4.0,4,0.46434643464346437
155,Unknown,5219.0,0.0,Out of Stock,49.0,4,0.521952195219522
156,Unknown,1197.0,1.3007193796865226,Out of Stock,0.0,4,0.11971197119711971
157,B,8205.0,4.755317544912339,Out of Stock,35.0,1,0.8205820582058205
158,Unknown,3125.0,3.295946652014962,Unknown,0.0,4,0.31253125312531255
159,D,7239.0,3.6103940069190337,In Stock,48.0,3,0.723972397239724
160,Unknown,262.0,0.0,In Stock,36.0,4,0.026202620262026202
161,Unknown,7826.0,3.576635436154038,In Stock,6.0,4,0.7826782678267826
162,Unknown,8532.0,4.6303470713260335,In Stock,42.0,4,0.8532853285328533
163,D,4625.0,1.718143163550882,In Stock,36.0,3,0.46254625462546256
